Titre,Date,Lieu,Hauteur,Largeur,Support,Matiere
sans,1/1/1960,Nice,25,32.5,papier,gouache
sans,1/1/1960,,24,31.5,papier,gouache
Etude pour Nice Composition 3,1/1/1960,,25.5,35.5,papier,gouache
la baie des anges,1/1/1960,,25.5,34.5,papier,gouache
la baie des anges,1/1/1960,,26.5,34,papier,gouache
Landscape,1/1/1960,"Westchester County N,Y,",29.5,37,papier,gouache
sans,1/1/1960,,24,31.5,papier,gouache
"étude pour ""tableau pour le musée du Louvre""",1/1/1960,Nice,19.5,32.5,papier,gouache
sans,1/1/1960,,25,32.5,papier,gouache
sans,1/1/1960,,24,31.5,papier,gouache
sans,1/1/1960,,25,32.5,papier,gouache
"étude pour ""Cheval de Troie""",1/1/1960,Fontainebleau,28,24,papier,gouache
"étude pour ""Cheval de Troie""",1/1/1953,Fontainebleau,27.5,24,papier,gouache
sans,1/1/1960,Fontainebleau,32,24,papier,gouache
sans,1/1/1960,,24,32,papier,gouache
"étude pour ""destruction de la ville""",1/1/1960,,24,32,papier,gouache
sans,1/1/1960,,24,32,papier,gouache
sans,1/1/1960,,24,32,papier,gouache
sans,1/1/1960,,25,32.5,papier,gouache
sans,1/1/1960,,25,32.5,papier,gouache
Les yeux écarquillés,1/1/1960,,31.5,41.5,papier,gouache
sans,1/1/1960,,24,26,papier,gouache
sans,1/1/1960,,41,31.5,papier,gouache
sans,1/1/1960,,48,31.5,papier,gouache
étude pour tête d'ombre 1957,1/1/1960,,42,31,papier,gouache
puriculum antrum 1973,1/1/1960,,45,38,papier,gouache
sans,1/1/1960,,32,41,papier,huile
sans,1/1/1960,,41.5,31.5,papier,gouache
sans,1/1/1960,,41.5,31.5,papier,gouache
sans,1/1/1960,,41.5,31.5,papier,gouache
Etude pour Nice - Nu,1/1/1960,Nice,16,23.5,papier,gouache
Etude pour Nice - Nu,1/1/1960,Nice,16,23.5,papier,gouache
sans,1/1/1960,,37,31,papier,huile
sans,1/1/1960,,50,32.5,papier,gouache
sans,1/1/1960,,47.5,31.5,papier,gouache
sans,1/1/1960,,31.5,48,papier,gouache
sans,1/1/1960,,48,31.5,papier,gouache
sans,1/1/1960,,31.5,48,papier,gouache
sans,1/1/1960,,31.5,48,papier,gouache
Ciel strié d'oiseaux,1/1/1960,ile de Ré,31.5,43.5,papier,gouache
sans,1/1/1960,,31.5,44,papier,gouache
Les filles du feu,1/1/1960,Paris,31.5,43,papier,gouache
sans,1/1/1960,,43,31.5,papier,gouache
Sucy Pereire,1/1/1960,Paris,31.5,41,papier,gouache
sans,1/1/1960,,31.5,41.5,papier,gouache
sans,1/1/1960,,31.5,41.5,papier,gouache
Les séductions de Lerne,1/1/1960,Paris,31.5,44,papier,gouache
sans,1/1/1960,,41.5,31.5,papier,gouache
sans,1/1/1960,,41.5,31.5,papier,gouache
sans,1/1/1960,,32,42,papier,gouache
Sans titre,1/1/1960,,31.5,41.5,papier,gouache
sans,1/1/1960,,41.5,31.5,papier,gouache
Sans titre,1/1/1950,,41.5,31.5,papier,gouache
sans,1/1/1960,,41,31,papier,gouache
"variation sur ""tête d'ombre""",1/1/1960,,31.5,40,papier,gouache
Le pélican,1/1/1960,,40,31.5,papier,gouache
étude pour une peinture sans titre,1/1/1960,Fontainebleau,32,24,papier,gouache
sans,1/1/1960,,31.5,24,papier,gouache
,1/1/1960,,17.5,31.5,papier,gouache
Le Tulipier,7/27/1969,Dinard,55,46,toile,huile
De profundis clamavi,1/1/1960,,97,162,toile,huile
Le lavoir de l'île,1/1/1960,La Thibaudière,28,40,carton,
Mais qu'est-ce que j'ai fait ?,6/1/1963,,60,73,toile,huile
Halloween,8/12/1972,,55,46,papier sur bois,huile
Nu au gratte-ciel,1/1/1960,New York,39.5,29,carton,huile
Femme nue (Carnegie Hall),1/1/1960,New York,41,27,carton,huile
Flora,1/1/1960,New York,100,41,,
Le plat d'argent,1/1/1960,"Ridgefield, Conn",73,60,,huile
Les oranges,1/1/1960,,43,59,toile,huile
Nature morte aux livres 48,1/1/1960,"South Salem, NY",61,50,toile,huile
Les Beaux Quartiers,1/1/1960,Paris,55,46,toile,huile
Petit paysage,1/1/1960,,38,46,papier,huile
Nu endormi,1/1/1960,,33,55,,huile
la baie des anges,1/1/1960,,50,61,,
Actus tragicus,4/1/1972,Paris,92,60,toile,huile
Pour un plongeon de bon souffle : - direction -> la fosse des Kariles,1/1/1960,,195,97,toile,huile
La torche du solstice,1/1/1960,,114,195,toile,huile
Et j'ai vu quelquefois ce que l'homme a cru voir,1/1/1960,,114,195,toile,huile
La mort dans l'âme,1/1/1960,,195,114,toile,huile
La lutte de Jacob avec l'ange,1/1/1960,,114,195,toile,huile
A la mémoire des pauvres morts,1/1/1960,,97,162,toile,huile
Le chêne de Vincennes sans Saint Louis,1/1/1962,,97,162,toile,huile
Le mauvais rêve,1/1/1960,,97,162,toile,huile
Impact,1/1/1960,,162,97,toile,huile
Anchise,1/1/1960,,116,89,toile,huile
La douzième nuit,1/1/1960,,116,81,toile,huile
Adieu vous dy Cherche Midy,1/1/1960,,89,130,toile,huile
Socoa,1/1/1960,,81,130,toile,huile
Petit poisson deviendra grand pourvu que Dieu lui prête vie,1/1/1960,,81,116,toile,huile
Au sortir de l'hiver,1/1/1960,,92,65,toile,huile
Bagatelle,1/1/1960,,92,65,toile,huile
Automne,1/1/1960,,92,73,toile,huile
Cosmogonie pratique,1/1/1960,,92,73,toile,huile
Danse rituelle n° 1,1/1/1960,,60,92,toile,huile
Gnose,1/1/1960,,92,60,toile,huile
En ce temps-là je vous disais,1/1/1960,,65,92,toile,huile
La mort du poète,1/1/1960,,92,65,toile,huile
Es war ein wunderlicher krieg,1/1/1960,,65,81,toile,huile
Solitude en commun,1/1/1960,,81,60,toile,huile
Dors en avant,1/1/1960,,65,54,toile,huile
La connaissance des choses,1/1/1960,,65,54,,huile
Facies personae,1/1/1960,,81,54,,huile
Danse rituelle n° 2,1/1/1960,,81,54,toile,huile
La nuit d'Aurélia,1/1/1960,,60,73,,huile
Fons vallis clausae,1/1/1960,,65,54,,huile
One June early morning,1/1/1972,,46,55,papier sur contreplaqué,huile
Sans titre - Baie des Anges,1/1/1960,Nice,24,35,,
"""Ah mon beau château"" ou ""Le bord de la mer""",8/1/1964,Dinard,38,54.5,isorel,huile
Portrait d'Adelaide de Montlaur,1/1/1960,,61,51,toile,huile
Paysage d'Anjou,1/1/1960,La Thibaudière,14,22,isorel,
Les fruits,,,55,38,,
Portrait d'Aménophis III,9/1/1963,Dinard,61,38,isorel,huile
Sans titre,8/1/1950,Nice,65,100,toile,huile
Bonhomme,9/18/1971,,38,46,papier,huile
Brise Marine,3/1/1962,Paris,38,61,toile,huile
Totapène,9/24/1971,,38,46,,
Gardien,,,37,46,papier,huile
Petite peinture de nuit,,Dinard,27,46,toile,huile
Les torches du Solstice,7/1/1962,Dinard,61,38,isorel,huile
"Trahe me post te, Domine",,,62,38,isorel,huile
Soleils couchants,,Dinard,61,38,isorel,huile
